Model,Params (M),Size (MB),Test Acc (%),Test Top-5 Acc (%),Best Val Acc (%),Final Train Acc (%),Final Val Acc (%),Train-Val Gap (%),Total Epochs,Batch Size,Optimizer,Scheduler,Initial LR,MixUp/CutMix Alpha,Training Time (hrs),Memory (MB),Memory (GB),Efficiency (acc/hr),Param Efficiency (acc/M),Memory Efficiency (acc/GB)
resnet,11.271432,86.08623313903809,64.01,85.52,64.755,60.51875,64.755,-4.236249999999998,80,128,sgd,cosine,0.1,0.4,30.077111857798364,3964.8125,3.87188720703125,2.12819636082856,5.678958982319195,16.53198984819585
vgg,14.825736,113.18690586090088,60.58,82.9,60.605,61.72875,60.605,1.1237500000000011,80,128,sgd,cosine,0.1,0.4,23.553560195498996,2978.765625,2.9089508056640625,2.5720103244339523,4.086137780950639,20.825377961718623
densenet,2.240972,17.406405448913574,52.56,78.0,51.61,53.40125,51.61,1.791249999999998,50,64,sgd,cosine,0.1,0.0,24.44189897391531,13114.40625,12.807037353515625,2.150405746136692,23.45410830657411,4.10399365201913
alexnet,15.727368,120.01913642883301,51.09,76.65,51.455,53.92,51.4,2.520000000000003,100,128,sgd,cosine,0.1,0.0,16.131460990309716,2756.484375,2.6918792724609375,3.16710309318481,3.2484774311887405,18.97930584134002
efficientnet,4.457796,49.18733215332031,41.87,69.35,42.33,42.685,42.265,0.4200000000000017,100,128,rmsprop,cosine,1e-06,0.0,4.740401614771949,2197.125,2.1456298828125,8.832584958524507,9.392533888944222,19.514083176878874
vit,21.62708,247.68418407440186,26.64,52.83,27.33,32.0175,27.04,4.977499999999999,100,256,adamw,cosine,1e-06,0.0,21.58697345592358,8594.859375,8.393417358398438,1.2340775817598388,1.2317890348581502,3.173915803596263
